Source,Exclusive,OBJECTID,Join_Count,TARGET_FID,fid_,store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_grou,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips,Join_Cou_1,TARGET_F_1,STATEFP,COUNTYFP,GEOID,NAME,NAME_CAP,NAMELSAD,GISJOIN,Cty_ID,GA_AAA
SNAP,SNAP and WIC,9119,1,127,0,BI-LO 5292,st_110279,2512,Tobacco Rd,,Hephzibah,GA,30815,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.07407,33.37695,usda,,0,SM,L168518,13,1,9118,13,245,13245,Richmond,RICHMOND,Richmond County,G1302450,13245,8
SNAP,SNAP and WIC,9120,1,58,0,BI-LO 5431,st_125231,1109,W Ogeechee St,,Sylvania,GA,30467,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-81.65318,32.73172,usda,,0,SM,L168526,13,1,9119,13,251,13251,Screven,SCREVEN,Screven County,G1302510,13251,8
SNAP,SNAP and WIC,9121,1,127,0,BI-LO 5514,st_088670,2803,Wrightsboro Rd,,Augusta,GA,30909,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.03561,33.46942,usda,,0,SM,L168532,13,1,9120,13,245,13245,Richmond,RICHMOND,Richmond County,G1302450,13245,8
SNAP,SNAP and WIC,9122,1,118,0,BI-LO 5534,st_085826,1101,E 1st St,,Vidalia,GA,30474,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.40113,32.21238,usda,,0,SM,L168536,13,1,9121,13,279,13279,Toombs,TOOMBS,Toombs County,G1302790,13279,9
SNAP,SNAP and WIC,9123,1,127,0,BI-LO 5542,st_088012,3457,Peach Orchard Rd,,Augusta,GA,30906,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.02731,33.3906,usda,,0,SM,L168537,13,1,9122,13,245,13245,Richmond,RICHMOND,Richmond County,G1302450,13245,8
SNAP,SNAP and WIC,9124,1,7,0,BI-LO 5567,st_104713,325,Northside Dr East,,Statesboro,GA,30458,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-81.76914,32.44449,usda,,0,SM,L168545,13,1,9123,13,31,13031,Bulloch,BULLOCH,Bulloch County,G1300310,13031,12
SNAP,SNAP and WIC,9125,1,59,0,BI-LO 5577,st_115792,136,Washington Plz,,Washington,GA,30673,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.71805,33.7274,usda,,0,SM,L168547,13,1,9124,13,317,13317,Wilkes,WILKES,Wilkes County,G1303170,13317,8
SNAP,SNAP and WIC,9126,1,2,0,BI-LO 5625,st_163824,4480,Columbia Rd,,Martinez,GA,30907,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.1427,33.50743,usda,,0,SM,L168560,13,1,9125,13,73,13073,Columbia,COLUMBIA,Columbia County,G1300730,13073,8
SNAP,SNAP and WIC,9127,1,93,0,Bi-Lo 5744,st_336062,312,S Veterans Blvd,,Glennville,GA,30427,Supermarket,16,Supermarket,6,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.93011,31.93328,usda,,0,SM,L038365,13,1,9126,13,267,13267,Tattnall,TATTNALL,Tattnall County,G1302670,13267,9
SNAP,SNAP and WIC,9128,1,121,0,Bi-Lo 5746,st_336064,1042,US Highway 80 W,,Pooler,GA,31322,Supermarket,16,Supermarket,6,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.26311,32.121,usda,,0,SM,L040295,13,1,9127,13,51,13051,Chatham,CHATHAM,Chatham County,G1300510,13051,12
