store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips
Stop & Shop,st_349405,3757,Kings Hwy,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,0,0,0,2014,2015,-84.7712377,33.70369712,esri,StreetAddress,0,NA,L037800,13
Douglasville Fod Mart,st_314059,3385,Fairburn Rd,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,1,1,1,0,2013,2017,-84.66331,33.71236,usda,NA,0,NA,L037801,13
CHEVRON FOOD MART,st_231000,9484,Highway 5,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,2010,2017,-84.76211,33.72453,usda,NA,0,NA,L037802,13
Shell Food Mart,st_308149,9415,Highway 5,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,1,1,0,0,2013,2016,-84.76237656,33.72654204,esri,PointAddress,0,NA,L037803,13
Merchandise Connection LLC,st_197650,0,Fairburn Road,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,1,1,0,0,0,0,0,0,0,0,2009,2010,-84.66447381,33.72836119,esri,PointAddress,0,NA,L037804,13
JP Deville,st_259570,7306,Bankhead Hwy,NA,Douglasville,GA,30134,Convenience Store,3,Small retail,4,0,0,0,1,1,0,0,0,0,0,0,2011,2012,-84.76691218,33.74431855,esri,PointAddress,0,NA,L037805,13
Reliance Fuels 108,st_192579,2195,Fairburn Rd,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,1,1,0,0,0,0,0,0,0,0,2009,2010,-84.69409027,33.74581141,esri,PointAddress,0,NA,L037806,13
CORN CRIB,st_092451,7826,Village Entrance Rd,NA,Douglasville,GA,30134,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-84.83102134,33.74837553,esri,PointAddress,0,NA,L037807,13
Hospital Food Mart,st_199515,6036,Highway 92,NA,Douglasville,GA,30134,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,2010,2011,-84.73058249,33.75108923,esri,StreetAddress,0,NA,L037808,13
CHEVRON,st_236771,6590,Broad St,NA,Douglasville,GA,30134,Convenience Store,3,Small retail,4,0,0,0,1,1,1,0,0,0,0,0,2011,2013,-84.74579247,33.75232696,esri,PointAddress,0,NA,L037809,13
